Dia;Mes;Ano;Estado;Comunidad;Sitio;Latitud;Longitud;Habitat;Zonificacion;TipoDeProteccion;ANP;BuzoMonitor;HoraInicialBuceo;HoraFinalBuceo;ProfundidadInicial_m;ProfundidadFinal_m;Temperatura_C;Visibilidad_m;Corriente;Transecto;Genero;Especie;GeneroEspecie;Sexo;Talla;PromedioDeTalla;Abundancia
a;b;c;d;1;1;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Chromis;multilineata;Chromis multilineata;y;0a5;2.5;1
a;b;c;d;1;1;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Chromis;multilineata;Chromis multilineata;y;0a5;2.5;1
a;b;c;d;1;1;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Chromis;multilineata;Chromis multilineata;y;0a5;2.5;1
a;b;c;d;1;1;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Chromis;multilineata;Chromis multilineata;y;0a5;2.5;1
a;b;c;d;1;1;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Chromis;multilineata;Chromis multilineata;y;0a5;2.5;1
a;b;c;d;1;1;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Chromis;multilineata;Chromis multilineata;y;0a5;2.5;1
a;b;c;d;1;1;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Chromis;multilineata;Chromis multilineata;y;0a5;2.5;1
a;b;c;d;1;1;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Chromis;multilineata;Chromis multilineata;y;0a5;2.5;1
a;b;c;d;1;1;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Chromis;multilineata;Chromis multilineata;y;0a5;2.5;1
a;b;c;d;1;1;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Chromis;multilineata;Chromis multilineata;y;0a5;2.5;1
a;b;c;d;1;1;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Pomacanthus;paru;Pomacanthus paru;y;6a10;8.5;1
a;b;c;d;1;1;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Pomacanthus;paru;Pomacanthus paru;y;6a10;8.5;1
a;b;c;d;1;1;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Pomacanthus;paru;Pomacanthus paru;y;11a20;15.5;1
a;b;c;d;1;1;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Pomacanthus;paru;Pomacanthus paru;y;11a20;15.5;1
a;b;c;d;1;2;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Epinephelus;striatus;Epinephelus striatus;y;21a30;25.5;1
a;b;c;d;1;2;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Epinephelus;striatus;Epinephelus striatus;y;21a30;25.5;1
a;b;c;d;1;2;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Epinephelus;striatus;Epinephelus striatus;y;21a30;25.5;1
a;b;c;d;1;2;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Epinephelus;striatus;Epinephelus striatus;y;31a40;35.5;1
a;b;c;d;1;2;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Epinephelus;striatus;Epinephelus striatus;y;31a40;35.5;1
a;b;c;d;2;1;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Sphyraena;argentea;Sphyraena argentea;y;31a40;35.5;1
a;b;c;d;2;1;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Sphyraena;argentea;Sphyraena argentea;y;31a40;35.5;1
a;b;c;d;2;1;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Sphyraena;argentea;Sphyraena argentea;y;31a40;35.5;1
a;b;c;d;2;1;g;h;coral;j;k;l;m;n;o;p;q;r;s;t;u;Sphyraena;argentea;Sphyraena argentea;y;>40;45;1
a;b;c;d;1;2;g;h;alga;j;k;l;m;n;o;p;q;r;s;t;u;Epinephelus;morio;Epinephelus morio;y;>40;100;1
a;b;c;d;1;2;g;h;alga;j;k;l;m;n;o;p;q;r;s;t;u;Epinephelus;morio;Epinephelus morio;y;>40;100;1
